,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser,gameLoc_type,location,Team,Arena,Capacity,Sheet Size,Unnamed: 4,0,Attendance%
181,October 25 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:00:00,113,3086,Minnesota State,Alabama Huntsville,WCHA Conference Game,4,1,Home Team,Away Team,home/away game,Minnesota State,Minnesota State,Verizon Wireless Center,5280.0,200x90,Map,90,0.584469696969697
182,October 25 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:37:00,150,11676,North Dakota,Providence,Non-Conference Game,2,2,Tie,Tie,home/away game,North Dakota,North Dakota,Ralph Engelstad Arena,11500.0,200x85,Map,85,1.015304347826087
183,October 25 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:35:00,150,1912,Air Force,RIT,Atlantic Hockey Conference Game,4,3,Home Team,Away Team,home/away game,Air Force,Air Force,Cadet Ice Arena,2470.0,200x85,Map,85,0.7740890688259109
184,October 26 2014,Sunday,1900-01-01 12:00:00,1900-01-01 14:23:00,143,5988,Penn State,Holy Cross,Non-Conference Game,7,1,Home Team,Away Team,home/away game,Penn State,Penn State,Pegula Ice Arena,5704.0,200x85,Map,85,1.049789621318373
185,October 26 2014,Sunday,1900-01-01 17:05:00,1900-01-01 19:01:00,116,345,Dartmouth,Brown,Exhibition Game,1,3,Away Team,Home Team,home/away game,Dartmouth,Dartmouth,Thompson Arena,4500.0,200x90,Map,90,0.07666666666666666
186,October 30 2014,Thursday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,5773,Penn State,Bentley,Non-Conference Game,3,2,Home Team,Away Team,home/away game,Penn State,Penn State,Pegula Ice Arena,5704.0,200x85,Map,85,1.0120967741935485
187,October 31 2014,Friday,1900-01-01 16:30:00,1900-01-01 18:52:00,142,2113,Connecticut,Merrimack,Non-Conference Game,2,2,Tie,Tie,Tournament Game,Liberty Invitational Newark,,,,,,,
188,October 31 2014,Friday,1900-01-01 19:00:00,1900-01-01 21:10:00,130,4002,Rensselaer,Union,ECAC Hockey Conference Game,6,1,Home Team,Away Team,home/away game,Rensselaer,Rensselaer,Houston Field House,4780.0,200x85,Map,85,0.8372384937238494
189,October 31 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,3378,Maine,Massachusetts,Hockey East Conference Game,6,5,Home Team,Away Team,home/away game,Maine,Maine,Alfond Arena,5641.0,200x85,Map,85,0.598829994681794
190,October 31 2014,Friday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,2978,Providence,Boston University,Hockey East Conference Game,1,4,Away Team,Home Team,home/away game,Providence,Providence,Schneider Arena,3030.0,200x85,Map,85,0.9828382838283828
